time,pop,nrfr,fpc,iopc,ppolx,io,f,le,sopc,ciopc,hwi,ef,nr,pp,al,lfert
2030.5,7715891391.155214,0.2957184241058334,377.7239078108079,214.59297970268855,10.056021041414214,1655776124690.3203,2914476648510.9185,67.94802640107358,505.0290588389272,92.27498127215608,0.5971530285325207,1.9448268317758397,295718424105.8334,1367618861.632333,2142130271.1975615,451.9867007724873
2031.0,7709825850.945399,0.29194655468633307,373.10537335941837,210.45990630635748,10.177393250594601,1622609226228.3015,2876577452653.0786,67.34217826852614,497.5707400989782,90.49775971173372,0.589288377019404,1.9237492529396785,291946554686.33307,1384125482.0808659,2141030096.8344505,448.5207366698406
2031.5,7702937295.437527,0.2883170609545097,368.5328527232681,206.41253535252835,10.292247620829652,1589982816812.8076,2838785455836.047,66.74169158389606,490.1388837559514,88.7573902015872,0.5815251726223813,1.9037489042712235,288317060954.5097,1399745676.4328327,2139853584.58721,444.81276746745965
2032.0,7695201857.311295,0.2848272079139006,364.0174022641137,202.45413293716337,10.399992551057101,1557925419798.4072,2801187389996.4404,66.14927257685338,482.7408762541814,87.05527716298025,0.5738828140189579,1.8845843489509506,284827207913.9006,1414398986.9437659,2138612200.8763988,440.9441783225877
2032.5,7686610566.655676,0.2814741250380726,359.5488789739245,198.587012401364,10.500065483133278,1526461027924.9062,2763712212350.171,65.48293594626584,475.38311129114635,85.39241533258652,0.5662079860885384,1.868138706207891,281474125038.07263,1428008905.706126,2137314388.5527477,436.95041902503084
2033.0,7677013864.3819,0.2782303953537322,354.929719780979,194.79233987597956,10.591941089062283,1495423493903.2864,2724800379639.7583,64.66963063398362,468.11058407284014,83.76070614667121,0.5582831199423328,1.8555773716263997,278230395353.7322,1440503988.1124704,2135965671.3290756,432.62992768854645
2033.5,7666131285.344422,0.2750526204291877,350.2407406320127,191.03739089278997,10.675138019624367,1464517718993.7888,2684991499161.274,63.85706316113745,460.99227177232336,82.1460780838997,0.5503839678667796,1.8431730469200187,275052620429.1877,1451818770.6689138,2134571329.3251748,428.0959591870512
2034.0,7653948398.698136,0.27194052027632587,345.5451234401141,187.32550206541825,10.749224210333198,1433779726568.9324,2644784544232.411,63.05200271358169,454.0218442975746,80.54996588812983,0.5425518450977552,1.8309041298241993,271940520276.32587,1461894492.605315,2133136057.5597913,423.4338397736403
2034.5,7640471091.472342,0.2688937383573669,340.8888011106853,183.65954404385215,10.813822349413972,1403245436940.0437,2604551030292.8555,62.25933830101259,447.19252656857753,78.97360393885643,0.5348170513439101,1.8187424773173604,268893738357.36688,1470679839.5203001,2131663384.5588124,418.7112491241201
2035.0,7625720786.115753,0.2659118418038693,336.307415483651,180.04195239162019,10.868616066670484,1372949658725.6409,2564586448778.5444,61.482797997783976,440.4974117786413,77.41803952839668,0.5272029677491489,1.8066601919652971,265911841803.8693,1478131785.0671859,2130155941.8014636,413.98425070460445
2035.5,7609731118.721028,0.2629943237790773,331.83001840179855,176.47476768215864,10.913353559052638,1342925531299.9866,2525137217157.938,60.72533666978742,433.9296533212294,75.88415010332821,0.519728283745231,1.7946323244262248,262994323779.0773,1484216084.0311587,2128615667.6619377,409.3006965043837
2036.0,7592545463.934803,0.2601406070250648,327.48107534317137,172.95967712418573,10.947849183148163,1313204211992.8645,2486414953121.287,59.98935134297413,427.482586490279,74.37266116339987,0.5124082490721235,1.7826377058020473,260140607025.06482,1488907488.9081502,2127043964.3160832,404.70220057245416
2036.5,7574212132.285689,0.25735004807458,323.28169738714934,169.49811797903288,10.971983436445433,1283814701596.382,2448604154495.657,59.27682335496006,421.1499658266068,72.88419073098414,0.5052555672207655,1.7706589730225606,257350048074.58,1492189747.3565788,2125441820.5339644,400.2253194159066
2037.0,7554601208.91063,0.2546219418336877,319.25794218213963,166.0953001893188,10.985701668052126,1254783755604.6018,2411866435963.512,58.59048988834831,414.9359775834061,71.42097908140708,0.49829067447501957,1.7586822683020968,254621941833.68768,1494055426.8550892,2123809909.0173962,395.9022895944005
2037.5,7533787527.582685,0.25195552635302787,315.42452565182305,162.75161063074208,10.989011796595724,1226136054263.8782,2376341357249.389,57.93151347460686,408.8337571744389,69.98319257121908,0.49152078997722964,1.746695746143362,251955526353.0279,1494505604.3370185,2122148649.2216103,391.7615215513297
2038.0,7511849308.0698,0.24934998723771717,311.8010726931738,159.46724786662514,10.981981263073514,1197893935546.7034,2342202672165.639,57.30145153841028,402.8368792435938,68.5709165826488,0.4849552169176084,1.7347220202473936,249349987237.71716,1493549451.777998,2120517758.2179296,387.8281420927853
2038.5,7488868446.466232,0.24680446262468042,308.39809362777066,156.24225341220463,10.964733406226784,1170077681583.4402,2309552752319.3506,56.70095499816459,396.93929138781004,67.18416896724798,0.4785979932163953,1.722753624932158,246804462624.68042,1491203743.2468426,2118916950.5880613,384.1241611437394
2039.0,7464928196.211668,0.24431804755131561,303.46912565322236,153.07652558937156,10.937443415396809,1142705272050.2166,2265375232768.4414,55.96899078079794,391.1353929098494,65.82290600342976,0.47153682894997856,1.7107827324795275,244318047551.3156,1487492304.4939659,2117339546.569249,380.6688090160245
2039.5,7439784632.958047,0.24188979884820888,298.64045566934885,149.9682600669423,10.900333988398183,1115731556677.4932,2221820672868.4106,55.25642036594536,385.43700483339006,64.48635182878519,0.4646252702228628,1.699521708137464,241889798848.2089,1482445422.4221528,2115771562.9827302,377.4786452442876
2040.0,7413504796.183079,0.23951886929026922,294.3348218296025,146.91723536784522,10.853670800862515,1089171629041.4789,2182052613317.4502,54.60152341269538,379.8388873214274,63.17441120817345,0.4580803552352841,1.6888020411026754,239518869290.26923,1476099228.9173021,2114206872.3320034,374.5292160486742
2040.5,7386232760.809125,0.23720437957855608,290.35947942102297,143.9234900101074,10.79775787482717,1063052396962.6401,2144662699311.0427,53.98601455688711,374.3323184386852,61.88710070434618,0.4517988393310268,1.6783298676074019,237204379578.5561,1468495070.976495,2112642962.6298373,371.8082919597876
2041.0,7358073898.250862,0.23494539323501046,286.62968234288985,140.9867463240597,10.732932920515967,1037390898126.3795,2109042384111.1538,53.40168166732075,368.91124240957765,60.62430091934568,0.4457342761510246,1.6679686675325394,234945393235.01047,1459678877.1901715,2111077729.4326005,369.3201196745401
2041.5,7329115637.242969,0.23274093757649192,283.1078175291535,138.1065519929096,10.659563247860822,1012198889816.9429,2074929932478.648,52.84468534182392,363.5709732580168,59.38581735695113,0.43986484157733,1.6576540391924397,232740937576.4919,1449700601.7090719,2109509383.9236057,367.07409186153563
2042.0,7299436384.652398,0.23059001493563092,279.77691831453313,135.28234679708856,10.578041993512679,987484884411.832,2042213817131.025,52.31309172507718,358.3076205476314,58.17140912274808,0.43417941245483904,1.6473558701611455,230590014935.63092,1438613711.1177244,2107936431.019556,365.0801184438954
2042.5,7269109347.156199,0.22849160955625578,276.62893845171754,132.51349662904838,10.488784385062738,963255096970.567,2010846002193.2769,51.80578725194467,353.11782470281736,56.9808035504908,0.4286714467091722,1.6370610507215921,228491609556.25577,1426474676.3685324,2106357659.5411203,363.34686771312573
2043.0,7238204129.294968,0.2264446924751933,273.6351778965688,129.7776739346799,10.392223969769109,939357295364.296,1980627274571.3074,51.31828874272477,347.9406130222731,55.80439979191236,0.4232945284122551,1.6266972430558937,226444692475.1933,1413342459.888599,2104778779.38989,361.88122052488745
2043.5,7206768107.233729,0.22444855822254417,270.75003296806625,127.09238812641391,10.288808819639952,915925369421.6105,1951232702626.7405,50.847534670305436,342.822279189414,54.649726894357975,0.41804824125316536,1.6162171879254237,224448558222.54416,1399277999.4710336,2103211117.7316272,360.68822283137024
2044.0,7174852735.291638,0.22250221681252322,268.0015751677151,124.46063260622482,10.178997756364986,892986710290.8998,1922871834654.548,50.39596713190071,337.77122743747526,53.51807202067667,0.4129496523543379,1.6056836112637358,222502216812.52322,1384343694.865638,2101653115.9245198,359.7707919484808
2044.5,7142515153.58914,0.22060462005315506,265.40486060351066,121.88256446258339,10.063256648001811,870548063632.307,1895658238696.788,49.964644540642496,332.7882125606409,52.40950271891086,0.4080053003243871,1.5951366823834676,220604620053.15506,1368602904.1282463,2100103320.9846876,359.1293731606354
2045.0,7109768292.379176,0.2187547054179364,262.9686196238869,119.35875730564774,9.942054774698539,848613108109.4757,1869645953692.6318,49.551207485858846,327.87525963759805,51.324265641428525,0.4032027794754662,1.5846038638783382,218754705417.9364,1352119449.3590014,2098560421.1785648,358.76315077227287
2045.5,7076185015.155972,0.21695140256320378,260.6375588993425,116.89674436223484,9.815861286384225,827182990776.5645,1844319588670.3591,49.150900360697484,323.0538337557119,50.26560007576098,0.398522963907278,1.5741049885331908,216951402563.20377,1334957134.9482546,2097023258.4136097,358.5666663443722
2046.0,7041843868.582318,0.21519363870780356,258.3415563751152,114.49491290051682,9.68514186291919,806255300392.371,1819200904760.1184,48.76052992559488,318.32113719393055,49.23281254722223,0.39394671699954104,1.563669831705879,215193638707.80356,1317179293.35701,2095491561.2326553,358.4282529245921
2046.5,7006810525.314226,0.21348034619446976,256.1082022723236,112.151509170155,9.550355640311977,785824374883.317,1794501647301.0217,48.3822292860671,313.6747052893153,48.225148943166644,0.3894849279154369,1.5533359006005134,213480346194.46976,1298848367.082429,2093965809.8295617,358.36161646714174
2047.0,6971154936.216382,0.2118104693978427,253.95244350798072,109.86474577579055,9.411952438162201,765884164831.0602,1770341830124.8716,48.01700481993971,309.1116909920452,47.241840683589935,0.3851420470748946,1.5431243047109495,211810469397.8427,1280025531.5900593,2092446236.742137,358.37594645486746
2047.5,6934947592.896042,0.21018296554757673,251.88213140670783,107.63284114956558,9.270370305344285,746428112646.7418,1746789380892.473,47.66523824494914,304.6291171137307,46.2821216943132,0.3809189692393902,1.5330471778898036,210182965547.57672,1260770361.5268228,2090932927.0846891,358.47754286212074
2048.0,6898257519.358945,0.2085968058082024,249.90104981617887,105.45404420169513,9.126033399574524,727449153361.1539,1723881795990.1501,47.32696004778368,300.2240192386797,45.3452390067289,0.376814607240829,1.5231116917027858,208596805808.2024,1241140542.3421352,2089425876.4302347,358.67073202491383
2048.5,6861151204.218624,0.20705097635730993,248.01059278287195,103.32664953399158,8.979350212358224,708939765878.0221,1701638177331.1768,47.002000650174445,295.893526181618,44.43045929961638,0.37282676409622106,1.513322240700563,207050976357.30994,1221191628.8807185,2087925025.1651368,358.95840334414237
2049.0,6823692051.703489,0.20554447935481915,246.21071113447633,101.24900650627268,8.830712128869651,690892040939.7278,1680066072612.5898,46.69007548840898,291.63490395250636,43.537072797697256,0.36895262486447966,1.5036816386797893,205544479354.81915,1200976849.5262725,2086430279.4915588,359.3423409693755
2049.5,6785940123.309779,0.20407633376782225,244.50045878210915,99.21952423228045,8.680492301927764,673297750503.5388,1659165473417.1633,46.39083393332599,287.4455779425197,42.66439541988059,0.3651890397427759,1.4941917753330924,204076333767.82224,1180546953.062176,2084941524.648337,359.8234426316742
2050.0,6747952045.070329,0.20264557604800224,242.87831696300557,97.23667385461358,8.529044814842184,656148412193.0763,1638931235653.753,46.10388814172209,283.3231418855145,41.811769757483845,0.3615326908289764,1.4848539762200985,202645576048.00223,1159950094.818537,2083458633.4554405,360.4018747441266
2050.5,6709781010.87361,0.20125126067209195,241.3423933139408,95.29898899729453,8.376704106578151,639435346729.4999,1619354607776.67,45.82883057727913,279.26535870253906,40.97856526883665,0.35798019289793875,1.4756691986370105,201251260672.09195,1139231758.4946284,2081981471.9536397,361.0771901156129
2051.0,6671476842.418821,0.19989246056029175,239.89054897539862,93.40506500588202,8.223784632878953,623149728151.3666,1600424242204.51,45.56524499891782,275.270156361204,40.16417795252927,0.3545281559473707,1.4666381364386187,199892460560.29175,1118434710.0715375,2080509903.1791205,361.8484225168285
2051.5,6633086082.981907,0.1985682673879701,238.52048326776602,91.55355739481014,8.070580737883763,607282627403.0004,1582126898069.5376,45.25744136295956,271.33562071890765,39.36802967976836,0.3508600157694026,1.457761274451351,198568267387.9701,1097598980.3521917,2079043789.7033467,362.7141658823166
2052.0,6594488228.097636,0.1972777918047387,237.2356880932614,89.7454100513443,7.917366711978728,591825050109.3853,1564447952415.6548,44.862513485513894,267.46663341330185,38.59052632207805,0.34673402749523624,1.449038915283666,197277791804.7387,1076761872.829107,2077582995.3338466,363.67264248545536
2052.5,6555442564.649593,0.19602016357325625,236.04349434606414,87.98308061069518,7.764397012920955,576768031604.3475,1547369569944.8145,44.48068886869089,263.6726389760773,37.83272466259893,0.3427211577779339,1.4404715646425283,196020163573.25626,1055957993.7572498,2076129434.9166477,364.72176258254035
2053.0,6516013709.674247,0.19479453150609702,234.93965792763248,86.26481065202981,7.61190662859061,562102688871.0792,1530870032002.631,44.11134142635799,259.9504382439022,37.09386858037281,0.33881647243029134,1.4320591865749528,194794531506.09702,1035219301.488323,2074686054.6915174,365.8592535157078
2053.5,6476261456.357623,0.19360006329224597,233.92040610422498,84.58894387970318,7.460111561023678,547820116882.1198,1514929709908.3147,43.75390074398321,256.29710466676937,36.37324586827237,0.3350154338367069,1.4238005200593526,193600063292.24597,1014575172.2992202,2073252346.1010973,367.0828003444349
2054.0,6436241200.03186,0.19243594554387147,232.98238886620183,82.95391834250262,7.309209412651684,533911426940.094,1499530850102.4924,43.4078464408469,252.7099557550515,35.67018488727612,0.3313138628895613,1.4156946196662996,192435945543.87146,994052480.120629,2071827841.8408694,368.3899929914784
2054.5,6396058699.532991,0.19130138376162376,232.1205562623729,81.357567298705,7.159380056412623,520367776093.72296,1484656703222.3875,43.07245950976244,249.1844080423755,34.98375393844315,0.327705782303561,1.4077406601589388,191301383761.62375,973675687.6721166,2070412110.0319753,369.7783067943108
2055.0,6355780407.949268,0.1901956022374246,231.33146789364275,79.79827894472417,7.010786372158901,507180337904.94855,1470292011380.5598,42.74759571836793,245.7175201399075,34.3132599462314,0.324189032842432,1.3999380389956761,190195602237.4246,953466946.6136106,2069004750.6659157,371.2451037762198
2055.5,6315448059.140526,0.1891178440193766,230.59419728361286,78.27479004621516,6.863575033992122,494340370877.00165,1456305675683.8604,42.43260735968696,242.30736918435332,33.658159719872515,0.3207589536476327,1.3922860825333803,189117844019.3766,933446204.6229286,2067605390.7593997,372.7876209167989
2056.0,6275099711.530136,0.18806737073126298,228.95150510586822,76.78587127063875,6.717877334848771,481838998659.9754,1436693523644.224,41.942354671250094,238.95220786266512,33.01792464637467,0.3163654466326757,1.3847872254142783,188067370731.26297,913631317.5394328,2066213742.0822856,374.40299027308964
